ticker,weight
TIINDIA,0.12713532
LLY,0.121986195
WSI,0.10312551
INGERRAND,0.097705476
AZO,0.07455535
ABBOTINDIA,0.07317801
CGCL,0.07181998
GRINDWELL,0.048296344
PERSISTENT,0.044668138
HAL,0.04054307
HSY,0.025443511
TORNTPHARM,0.02401558
ENPH,0.023188086
WST,0.022142949
PWR,0.021413416
APOLLOHOSP,0.018802347
JBMA,0.01855929
APLAPOLLO,0.01179182
NESTLEIND,0.011555466
SRF,0.010957383
ADANIPOWER,0.0064165955
COST,0.0005378463
SNPS,0.00052463025
JKCEMENT,0.00040981683
TRENT,0.00023571344
ODFL,0.0001457521
PGR,0.0001453059
AJG,0.00014268458
FACT,0.00012874545
OILCOUNTUB,9.110033e-05
MCK,7.232338e-05
BHARTIARTL,5.638527e-05
AVGO,4.6176447e-05
SJVN,3.170879e-05
LMT,3.0160254e-05
MCD,2.974286e-05
TATACHEM,2.055935e-05
BALRAMCHIN,1.8883185e-05
PATANJALI,1.6827345e-05
ADM,1.5725022e-05
NETWORK18,0.0
RPOWER,0.0
NWSA,0.0
HWM,0.0
TATASTEEL,0.0
VICI,0.0
KTKBANK,0.0
MOH,0.0
NEE,0.0
PLD,0.0
