ticker,weight
CGCL,0.0647275
TIINDIA,0.0647275
APOLLOHOSP,0.0647275
PERSISTENT,0.0647275
ABBOTINDIA,0.0647275
SRF,0.0647275
WSI,0.0647275
HAL,0.0647275
GRINDWELL,0.0647275
INGERRAND,0.0647275
PWR,0.0647275
AZO,0.0647275
LLY,0.0647275
BHARTIARTL,0.0058719455
TRENT,0.0058719455
NESTLEIND,0.0058719455
JKCEMENT,0.0058719455
APLAPOLLO,0.0058719455
JBMA,0.0058719455
NETWORK18,0.0058719455
OILCOUNTUB,0.0058719455
RPOWER,0.0058719455
PATANJALI,0.0058719455
TORNTPHARM,0.0058719455
TATACHEM,0.0058719455
BALRAMCHIN,0.0058719455
TATASTEEL,0.0058719455
ADANIPOWER,0.0058719455
ADM,0.0058719455
VICI,0.0058719455
MCD,0.0058719455
FACT,0.0058719455
KTKBANK,0.0058719455
SJVN,0.0058719455
PGR,0.0058719455
NWSA,0.0058719455
HWM,0.0058719455
COST,0.0058719455
AJG,0.0058719455
WST,0.0058719455
SNPS,0.0
ENPH,0.0
AVGO,0.0
ODFL,0.0
LMT,0.0
MOH,0.0
MCK,0.0
HSY,0.0
NEE,0.0
PLD,0.0
